"TeamChartDetailD","TeamChartID","UPCID","DieRoll","ResultCodeID","Yards","OutOfBounds"
929719,933,1,10,7,"10",0
929720,933,1,11,1,"2",0
929721,933,1,12,1,"3",0
929722,933,1,13,1,"10",0
929723,933,1,14,1,"4",0
929724,933,1,15,1,"1",0
929725,933,1,16,1,"3",0
929726,933,1,17,1,"12",0
929727,933,1,18,1,"11",0
929728,933,1,19,5,"2",0
929729,933,1,20,1,"3",0
929730,933,1,21,1,"2",0
929731,933,1,22,1,"8",0
929732,933,1,23,10,"0",0
929733,933,1,24,1,"0",0
929734,933,1,25,1,"1",0
929735,933,1,26,1,"3",0
929736,933,1,27,1,"3",0
929737,933,1,28,1,"3",0
929738,933,1,29,7,"5",0
929739,933,1,30,1,"9",0
929740,933,1,31,1,"2",0
929741,933,1,32,1,"1",0
929742,933,1,33,1,"6",0
929743,933,1,34,1,"5",0
929744,933,1,35,1,"4",0
929745,933,1,36,1,"2",0
929746,933,1,37,1,"7",0
929747,933,1,38,1,"-1",0
929748,933,1,39,1,"-2",0
929749,933,2,10,7,"10",0
929750,933,2,11,1,"-2",0
929751,933,2,12,1,"10",0
929752,933,2,13,1,"5",0
929753,933,2,14,1,"1",0
929754,933,2,15,1,"3",0
929755,933,2,16,1,"8",0
929756,933,2,17,1,"6",0
929757,933,2,18,7,"5",0
929758,933,2,19,6,"5",0
929759,933,2,20,1,"2",0
929760,933,2,21,1,"3",0
929761,933,2,22,1,"0",0
929762,933,2,23,1,"2",0
929763,933,2,24,1,"3",0
929764,933,2,25,1,"4",0
929765,933,2,26,1,"12",0
929766,933,2,27,1,"2",0
929767,933,2,28,1,"2",0
929768,933,2,29,6,"15",0
929769,933,2,30,1,"2",0
929770,933,2,31,1,"2",0
929771,933,2,32,1,"3",0
929772,933,2,33,1,"-1",0
929773,933,2,34,1,"1",0
929774,933,2,35,10,"0",0
929775,933,2,36,1,"7",0
929776,933,2,37,1,"5",0
929777,933,2,38,1,"2",0
929778,933,2,39,1,"9",0
929779,933,3,10,1,"7",0
929780,933,3,11,1,"4",1
929781,933,3,12,1,"-2",1
929782,933,3,13,6,"15",0
929783,933,3,14,1,"2",0
929784,933,3,15,1,"4",0
929785,933,3,16,7,"5",0
929786,933,3,17,5,"5",0
929787,933,3,18,1,"10",0
929788,933,3,19,5,"0",0
929789,933,3,20,1,"11",1
929790,933,3,21,1,"4",0
929791,933,3,22,1,"9",1
929792,933,3,23,1,"0",0
929793,933,3,24,1,"7",0
929794,933,3,25,1,"-1",0
929795,933,3,26,1,"-4",0
929796,933,3,27,1,"4",0
929797,933,3,28,7,"10",0
929798,933,3,29,10,"0",0
929799,933,3,30,1,"12",0
929800,933,3,31,1,"8",0
929801,933,3,32,1,"1",0
929802,933,3,33,1,"5",1
929803,933,3,34,1,"6",0
929804,933,3,35,1,"2",0
929805,933,3,36,10,"0",0
929806,933,3,37,1,"3",0
929807,933,3,38,1,"4",1
929808,933,3,39,10,"0",0
929809,933,4,10,1,"7",0
929810,933,4,11,1,"2",0
929811,933,4,12,1,"12",0
929812,933,4,13,1,"2",0
929813,933,4,14,1,"3",0
929814,933,4,15,1,"2",0
929815,933,4,16,1,"5",0
929816,933,4,17,1,"5",0
929817,933,4,18,7,"5",0
929818,933,4,19,6,"5",0
929819,933,4,20,1,"8",0
929820,933,4,21,1,"5",0
929821,933,4,22,1,"2",0
929822,933,4,23,1,"7",0
929823,933,4,24,1,"4",0
929824,933,4,25,1,"-2",0
929825,933,4,26,1,"2",0
929826,933,4,27,1,"5",0
929827,933,4,28,1,"10",0
929828,933,4,29,1,"5",0
929829,933,4,30,1,"5",0
929830,933,4,31,1,"6",0
929831,933,4,32,1,"4",0
929832,933,4,33,1,"6",0
929833,933,4,34,1,"0",0
929834,933,4,35,1,"3",0
929835,933,4,36,1,"7",0
929836,933,4,37,7,"10",0
929837,933,4,38,1,"5",0
929838,933,4,39,1,"5",0
929839,933,5,10,1,"12",0
929840,933,5,11,1,"3",0
929841,933,5,12,1,"34",0
929842,933,5,13,1,"6",0
929843,933,5,14,4,"0",0
929844,933,5,15,1,"12",0
929845,933,5,16,1,"7",0
929846,933,5,17,1,"22",1
929847,933,5,18,4,"0",0
929848,933,5,19,7,"5",0
929849,933,5,20,6,"15",0
