game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2000_02_MIA_MIN,23,MIN 2,(1:22) J.Fiedler pass to B.Emanuel to MIN 46 for 5 yards (K.Wright).,82,51,1:02,1,10,1,3520,Touchdown
2000_03_BUF_NYJ,24,NYJ 47,(:39) (Shotgun) R.Johnson pass incomplete to E.Moulds.,39,47,0:26,1,10,0,3920,Turnover
2000_03_MIN_NE,21,MIN 14,"(1:59) D.Bledsoe pass to T.Brown to MIN 40 for 9 yards (E.McDaniel, K.Wright).",119,49,0:54,1,10,0,3772,Turnover on downs
2000_05_MIN_DET,25,MIN 1,(1:08) C.Batch pass to M.Bates to MIN 28 for 17 yards (J.Randle).,68,45,0:03,1,10,1,4046,Touchdown
2000_05_NYG_TEN,22,TEN 47,(:43) K.Collins pass incomplete.,43,47,0:22,1,10,0,3765,Turnover
2000_06_DEN_SD,28,DEN 19,(1:15) (Shotgun) J.Harbaugh pass to T.Fletcher ran ob at DEN 44 for 5 yards (R.Crockett).,75,49,0:00,1,10,0,4126,End of half
2000_06_IND_NE,20,NE 17,(1:02) P.Manning pass to M.Harrison ran ob at NE 26 for 21 yards.,62,47,0:36,1,10,1,3847,Field goal
2000_06_TEN_CIN,26,TEN 28,(1:50) (Shotgun) A.Smith pass to B.Bennett to TEN 33 for 17 yards (S.Rolle).,110,50,0:40,1,10,0,3611,Missed field goal
2000_07_ATL_STL,23,LA 36,(:39) C.Chandler pass to J.Anderson to STL 36 for 12 yards (D.Bly).,39,48,0:00,1,10,0,3889,End of half
2000_09_DET_IND,32,IND 24,(:59) C.Batch pass to D.Sloan to IND 43 for 7 yards (C.Bennett).,59,50,0:00,1,10,0,4070,End of half
2000_11_MIA_SD,24,MIA 27,(:48) J.Harbaugh pass to T.Fletcher to MIA 40 for 6 yards (D.Rodgers).,48,46,0:03,1,10,0,3793,Turnover
2000_11_NYJ_IND,19,IND 28,"(2:00) C.Martin left tackle to 50 for 5 yards (B.Holsey, J.Belser).",120,55,0:52,1,10,0,3639,Turnover on downs
2000_11_OAK_DEN,24,LV 23,(:41) B.Griese pass to B.Chamberlain to OAK 40 for 5 yards (G.Biekert).,41,45,0:00,1,10,1,4138,NA
2000_12_CLE_TEN,24,TEN 42,(2:00) D.Pederson sacked at CLE 47 for -7 yards (J.Kearse).,120,46,1:24,1,10,0,3474,Turnover on downs
2000_12_DET_NYG,26,NYG 48,(:14) (Shotgun) K.Collins pass incomplete to J.Jurevicius.,14,52,0:00,1,10,0,4262,End of half
2000_13_BUF_TB,25,TB 41,(1:09) (Shotgun) D.Flutie pass incomplete to J.Riemersma (S.Quarles).,69,48,0:21,1,10,0,4081,Turnover
2000_14_DET_MIN,23,MIN 40,(2:00) (Shotgun) S.Case pass incomplete to J.Morton.,120,50,0:13,1,10,1,3497,Touchdown
2000_15_PHI_CLE,23,PHI 16,"(1:58) D.Pederson pass to T.Prentice to PHI 47 for 5 yards. FUMBLES, touched at PHI 47, recovered by CLE-E.Lindsay at PHI 47.",118,52,0:43,1,10,0,3747,Turnover
2000_16_DEN_KC,23,KC 39,(:33) G.Frerotte pass to E.McCaffrey to KC 39 for 13 yards (P.Dennis).,33,52,0:00,1,10,0,3628,End of half
2000_17_JAX_NYG,27,NYG 12,(1:42) (Shotgun) M.Brunell pass to K.McCardell to NYG 45 for 6 yards (E.McDaniel).,102,51,0:19,1,10,1,3565,Touchdown
2001_01_MIA_TEN,29,50,(:03) (Shotgun) 14-N.O'Donnell pass incomplete to 88-E.Kinney (54-Z.Thomas).,3,50,0:00,1,10,0,4121,End of half
2001_04_KC_DEN,22,DEN 48,(2:00) (Shotgun) 10-T.Green pass intended for 88-T.Gonzalez INTERCEPTED by 24-D.O'Neal at DEN 27. 24-D.O'Neal to KC 46 for 27 yards (68-W.Shields; 87-C.Thomas).,120,48,1:46,1,10,0,3453,Turnover
2001_04_NYJ_BUF,25,NYJ 6,"(2:00) 10-A.Van Pelt pass incomplete to 37-L.Centers. Underthrown, receiver at NYJ 48, left side.",120,51,0:07,1,10,1,4443,Touchdown
2001_06_ATL_NO,24,ATL 13,"(1:53) (Shotgun) 2-A.Brooks pass to 87-J.Horn to ATL 28 for 21 yards (53-M.Simoneau, 22-G.McBurrows). Pass 18, Run 3",113,49,0:26,1,10,1,3597,Field goal
2001_06_BAL_CLE,26,CLE 30,(1:31) 1-R.Cunningham pass incomplete.,91,48,0:23,1,10,0,3961,Turnover on downs
2001_08_CLE_CHI,23,CLE 9,(1:34) 9-S.Matthews pass to 83-D.Terrell to CLE 44 for 9 yards (24-C.Fuller).,94,53,0:28,1,10,1,4130,Touchdown
2001_08_IND_BUF,27,IND 38,(:35) 11-R.Johnson pass incomplete. QB spikes ball.,35,45,0:00,1,10,0,4200,End of half
2001_10_CLE_BAL,25,CLE 43,(:26) 18-E.Grbac pass incomplete to 87-Q.Ismail.,26,49,0:00,1,10,0,3903,Turnover on downs
2001_10_JAX_PIT,25,PIT 45,"(:34) 12-J.Quinn sacked at JAX 46 for -9 yards (92-J.Gildon). FUMBLES (92-J.Gildon), RECOVERED by PIT-67-K.Von Oelhoffen at JAX 46. 67-K.Von Oelhoffen to JAX 46 for no gain (73-Je.Smith).",34,45,0:31,1,10,0,3816,Turnover
2001_10_SF_CAR,26,CAR 7,(1:27) 5-J.Garcia pass to 81-T.Owens to CAR 46 for 6 yards (59-D.Hambrick).,87,52,0:01,1,10,1,4144,Touchdown
2001_10_TEN_CIN,25,TEN 13,(1:01) (Shotgun) 3-J.Kitna pass to 83-D.Farmer to TEN 34 for 18 yards (55-E.Robinson).,61,52,0:00,1,10,0,4002,Turnover on downs
2001_12_IND_BAL,33,BAL 17,(1:10) 18-P.Manning pass to 88-M.Harrison to BAL 46 for 8 yards (26-R.Woodson).,70,54,0:00,1,10,0,4213,End of half
2001_13_NYJ_PIT,17,PIT 12,(1:54) 16-V.Testaverde pass to 82-K.Swayne pushed ob at PIT 36 for 13 yards (30-C.Scott).,114,49,0:50,1,10,0,3521,Turnover on downs
2001_14_ATL_IND,25,IND 48,(1:40) (Shotgun) 12-C.Chandler pass to 43-M.Smith ran ob at IND 48 for no gain (26-R.Brooks).,100,48,1:26,1,10,0,3982,Turnover
2001_15_STL_CAR,25,LA 29,"(1:51) 16-C.Weinke pass to 45-B.Hoover to STL 44 for 11 yards (52-T.Polley, 23-J.Butler).",111,55,0:27,1,10,1,3912,Field goal
2001_18_NYJ_OAK,19,LV 1,(:58) 16-V.Testaverde pass to 87-L.Coles ran ob at OAK 45 for 9 yards (20-T.James).,58,54,0:00,1,10,0,3609,End of half
2002_02_ARI_SEA,23,ARI 26,(:12) 4-T.Dilfer pass incomplete. QB spiked ball.,12,45,0:00,1,10,0,4079,End of half
2002_02_CIN_CLE,21,CIN 37,"(1:40) 12-G.Frerotte pass to 28-C.Dillon to CLE 43 for 10 yards (23-D.Bush, 52-B.Boyer).",100,53,0:09,1,10,0,4030,Turnover
2002_02_MIA_IND,20,MIA 6,(1:22) 32-E.James up the middle to MIA 41 for 11 yards (54-Z.Thomas).,82,52,0:00,1,10,0,3832,End of half
2002_02_TEN_DAL,22,DAL 42,(1:48) (Shotgun) 9-S.McNair pass to 87-K.Dyson to DAL 32 for 18 yards (27-M.Edwards).,108,50,0:58,1,10,0,3816,Turnover on downs
2002_03_GB_DET,25,DET 48,"(1:52) 3-J.Harrington pass to 34-J.Stewart for 52 yards, TOUCHDOWN.",112,52,1:37,1,10,1,3942,Touchdown
2002_03_SD_ARI,23,ARI 38,(:35) (Shotgun) 16-J.Plummer pass incomplete to 82-M.Jenkins.,35,54,0:00,1,10,0,3802,End of half
2002_04_NYG_ARI,22,NYG 48,(1:27) 5-K.Collins pass incomplete. Collins spiked the ball.,87,52,1:11,1,10,0,3880,Turnover on downs
2002_05_NE_MIA,21,MIA 19,(:45) 12-T.Brady pass incomplete. T.Brady spikes the ball to stop the clock.,45,48,0:03,1,10,0,3547,Turnover on downs
2002_05_TB_ATL,23,TB 36,(:20) 11-D.Johnson pass incomplete to 80-W.Jackson.,20,51,0:00,1,10,0,3584,Turnover
2002_06_CLE_TB,24,TB 31,(:55) 2-T.Couch pass incomplete.,55,48,0:00,1,10,0,3794,End of half
2002_07_SF_NO,18,NO 39,(:29) 5-J.Garcia pass incomplete to 81-T.Owens (22-F.Thomas).,29,52,0:00,1,10,0,3896,End of half
2002_08_OAK_KC,19,KC 9,(1:11) 12-R.Gannon pass to 81-T.Brown to KC 37 for 17 yards.,71,54,0:00,1,10,0,3779,End of half
2002_12_GB_TB,26,TB 20,"(:56) (Shotgun) PENALTY on GB-58-M.Flanagan, False Start, 5 yards, enforced at TB 45 - No Play. ten second run off",56,45,0:00,1,10,0,3661,End of half
2002_13_CHI_GB,24,GB 45,"(:19) 10-H.Burris pass to 88-M.Robinson for 45 yards, TOUCHDOWN.",19,45,0:10,1,10,1,3676,Touchdown
2002_13_TEN_NYG,18,NYG 9,(1:05) (Shotgun) 9-S.McNair pass incomplete to 45-J.Simon.,65,54,0:09,1,10,1,3824,Touchdown
2002_15_JAX_CIN,20,JAX 49,(2:00) 3-J.Kitna pass incomplete to 85-C.Johnson.,120,55,1:39,1,10,0,3642,Turnover
2003_02_MIA_NYJ,19,MIA 41,(:55) 16-V.Testaverde pass incomplete to 82-K.Swayne.,55,53,0:00,1,10,0,3585,End of half
2003_03_BUF_MIA,24,MIA 24,(:54) (Shotgun) 11-D.Bledsoe pass to 81-B.Shaw to MIA 35 for 18 yards (23-P.Surtain; 31-B.Marion).,54,53,0:00,1,10,0,3636,End of half
2003_04_PHI_BUF,19,BUF 48,"(1:57) (Shotgun) 11-D.Bledsoe pass to 35-J.Burns to PHI 44 for 10 yards (54-N.Wayne). Dump pass left, caught at BUF 48. PENALTY on BUF-61-M.Pucillo, Offensive Holding, 10 yards, enforced at BUF 46 - No Play.",117,54,1:03,1,10,0,4293,Turnover on downs
2003_05_MIN_ATL,32,MIN 46,(:10) 11-D.Johnson pass to 81-P.Price to MIN 38 for 8 yards (26-D.Walker).,10,46,0:00,1,10,0,4066,End of half
