game_id,drive,drive_end_yard_line,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2000_01_NYJ_GB,21,NYJ 35,120,53,1:04,1,10,0,3856,Turnover
2000_01_TB_NE,28,TB 22,113,45,0:00,1,10,0,4055,Turnover on downs
2000_01_TEN_BUF,30,BUF 42,23,51,0:00,1,10,0,4334,Missed field goal
2000_02_MIA_MIN,23,MIN 2,82,51,1:02,1,10,1,3520,Touchdown
2000_03_BUF_NYJ,24,NYJ 47,39,47,0:26,1,10,0,3920,Turnover
2000_03_DAL_WAS,26,WAS 48,6,52,0:00,1,10,0,3905,End of half
2000_03_MIN_NE,21,MIN 14,119,49,0:54,1,10,0,3772,Turnover on downs
2000_04_DET_CHI,31,DET 33,46,52,0:16,1,10,0,4293,Turnover on downs
2000_04_TEN_PIT,26,TEN 32,70,54,0:18,1,10,0,3952,Missed field goal
2000_05_CHI_GB,28,CHI 44,33,53,0:07,1,10,0,3886,Turnover on downs
2000_05_CHI_GB,28,CHI 44,29,48,0:07,1,10,0,3886,Turnover on downs
2000_05_IND_BUF,19,BUF 27,51,54,0:00,1,10,1,3869,NA
2000_05_MIN_DET,25,MIN 1,68,45,0:03,1,10,1,4046,Touchdown
2000_05_NYG_TEN,22,TEN 47,43,47,0:22,1,10,0,3765,Turnover
2000_05_SEA_KC,23,SEA 46,34,54,0:21,1,10,0,3978,Turnover
2000_05_TB_WAS,29,WAS 24,24,48,0:00,1,10,1,4121,Field goal
2000_06_DEN_SD,28,DEN 19,75,49,0:00,1,10,0,4126,End of half
2000_06_IND_NE,20,NE 17,62,47,0:36,1,10,1,3847,Field goal
2000_06_TB_MIN,22,MIN 43,40,47,0:00,1,10,0,3675,Turnover on downs
2000_06_TEN_CIN,26,TEN 28,110,50,0:40,1,10,0,3611,Missed field goal
2000_07_ATL_STL,23,LA 36,39,48,0:00,1,10,0,3889,End of half
2000_07_DAL_NYG,24,NYG 22,93,50,0:00,1,10,0,3893,End of half
2000_07_SD_BUF,30,LAC 11,120,46,0:07,1,10,1,4425,Field goal
2000_08_BUF_MIN,22,MIN 42,14,55,0:00,1,10,0,4072,End of half
2000_08_CHI_PHI,25,CHI 47,1,53,0:00,1,10,0,3966,End of half
2000_09_CAR_ATL,23,CAR 40,16,54,0:00,1,10,0,3776,Turnover
2000_09_DET_IND,32,IND 24,59,50,0:00,1,10,0,4070,End of half
2000_09_OAK_SD,21,50,5,50,0:00,1,10,0,3807,Turnover
2000_10_BUF_NE,25,NE 30,92,52,0:04,1,10,1,3747,Field goal
2000_10_DAL_PHI,22,DAL 17,84,55,0:11,1,10,1,4057,Field goal
2000_11_BAL_TEN,23,BAL 25,13,45,0:00,1,10,0,3972,Missed field goal
2000_11_MIA_SD,24,MIA 27,48,46,0:03,1,10,0,3793,Turnover
