game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2000_02_DAL_ARI,19,ARI 43,(:40) R.Cunningham pass to J.Harris to ARI 43 for 21 yards (J.Lucas).,40,64,0:10,1,10,0,3526,Turnover on downs
2000_05_TB_WAS,29,WAS 24,(:32) (Shotgun) S.King right end ran ob at WAS 48 for 15 yards.,32,63,0:00,1,10,1,4121,Field goal
2000_10_DAL_PHI,22,DAL 17,(1:24) D.McNabb pass incomplete to B.Mitchell.,84,55,0:11,1,10,1,4057,Field goal
2000_10_IND_CHI,18,IND 38,"(1:36) (Shotgun) P.Manning pass to M.Harrison to IND 48 for 6 yards (B.Urlacher, W.Holdman).",96,58,1:05,1,10,0,4078,Turnover
2000_11_BAL_TEN,23,BAL 25,(:19) (Shotgun) S.McNair pass to E.George ran ob at BAL 45 for 11 yards.,19,56,0:00,1,10,0,3972,Missed field goal
2000_11_PHI_PIT,27,PIT 24,(1:33) D.McNabb pass incomplete to S.Pritchett.,93,55,0:00,1,10,1,4573,Field goal
2000_13_KC_SD,30,KC 26,(1:47) W.Moon pass incomplete to D.Alexander.,107,64,1:10,1,10,0,3917,Turnover on downs
2000_13_MIA_IND,21,MIA 42,(:47) E.James up the middle to IND 45 for no gain (D.Gardener).,47,55,0:00,1,10,0,3740,Missed field goal
2000_14_OAK_PIT,23,PIT 41,"(:51) R.Gannon up the middle to OAK 38 for 3 yards (C.Sullivan). PENALTY on OAK-R.Gannon, Illegal Forward Pass, 5 yards, enforced at OAK 38.",51,65,0:02,1,10,0,3674,Turnover on downs
2000_14_TEN_PHI,23,PHI 32,"(1:43) (Shotgun) PENALTY on TEN-B.Hopkins, False Start, 5 yards, enforced at TEN 36 - No Play.",103,64,0:00,1,10,1,3874,Field goal
2000_16_DET_NYJ,25,DET 17,(2:00) V.Testaverde pass incomplete to J.Sowell.,120,59,0:09,1,10,0,3696,Missed field goal
2000_16_OAK_SEA,27,SEA 45,(:28) R.Gannon pass incomplete (C.Kennedy).,28,60,0:12,1,10,0,3954,Turnover
2000_17_MIA_NE,26,NE 40,(:07) D.Bledsoe pass incomplete (J.Taylor).,7,60,0:00,1,10,0,3865,End of half
2001_05_NYG_STL,26,LA 39,(1:51) (Shotgun) 5-K.Collins pass to 88-I.Hilliard to STL 46 for 17 yards (55-M.Fields).,111,63,1:03,1,10,0,3989,Turnover
2001_06_PHI_NYG,21,NYG 41,"(1:15) (Shotgun) 5-K.Collins sacked at NYG 34 for -7 yards (54-J.Trotter). FUMBLES (54-J.Trotter), RECOVERED by PHI-98-B.Whiting at NYG 36. 98-B.Whiting to NYG 36 for no gain (88-I.Hilliard). Officially, a 5 yard sack.",75,59,1:05,1,10,0,3516,Turnover
2001_07_BUF_SD,22,LAC 26,(1:02) (Shotgun) 11-R.Johnson left end pushed ob at 50 for 14 yards (37-R.Harrison).,62,64,0:07,1,10,0,3941,Missed field goal
2001_07_JAX_BAL,21,JAX 42,(:19) (Shotgun) 8-M.Brunell pass incomplete to 34-S.Mack.,19,58,0:00,1,10,0,3626,End of half
2001_08_BAL_PIT,24,BAL 17,(1:49) (Shotgun) 10-K.Stewart pass to 86-H.Ward to PIT 46 for 8 yards (22-D.Starks; 26-R.Woodson).,109,62,0:08,1,10,0,3934,Missed field goal
2001_08_TB_GB,27,TB 49,(:24) (Shotgun) 14-B.Johnson pass to 19-K.Johnson to 50 for 11 yards (37-T.Williams).,24,61,0:00,1,10,0,3806,End of half
2001_09_MIA_IND,28,IND 37,"(1:40) 18-P.Manning pass incomplete to 88-M.Harrison. PENALTY on MIA-23-P.Surtain, Defensive Holding, 5 yards, enforced at IND 43 - No Play.",100,57,0:26,1,10,0,3788,Turnover on downs
2001_10_ATL_GB,24,ATL 45,(1:29) (Shotgun) 4-B.Favre pass to 84-B.Schroeder ran ob at ATL 45 for 18 yards.,89,63,1:08,1,10,0,3765,Turnover
2001_11_BAL_JAX,25,JAX 36,(:04) (Shotgun) 8-M.Brunell sacked at JAX 35 for -1 yards (96-A.Thomas).,4,64,0:00,1,10,0,4212,End of half
2001_12_DET_CHI,22,CHI 21,(1:36) 8-M.McMahon pass to 30-C.Schlesinger to DET 44 for 3 yards (43-M.Green).,96,59,0:21,1,10,0,4233,Missed field goal
2001_14_CIN_NYJ,17,CIN 31,"(:51) 3-J.Kitna pass to 81-R.Dugans pushed ob at CIN 42 for 1 yard. PENALTY on CIN-85-C.Johnson, Offensive Pass Interference, 10 yards, enforced at CIN 41 - No Play.",51,59,0:35,1,10,0,3516,Turnover
2001_14_MIN_DET,24,DET 42,(:33) (Shotgun) 8-T.Bouman pass to 81-C.Walsh to DET 42 for 19 yards (27-J.Wyrick).,33,61,0:03,1,10,0,4132,Turnover on downs
2001_15_SEA_NYG,27,SEA 36,(:15) 8-M.Hasselbeck pass intended for 82-D.Jackson INTERCEPTED by 41-D.Thomas at NYG 36. 41-D.Thomas to NYG 39 for 3 yards (85-A.Bannister). Play Challenged by Replay Official and Upheld.,15,64,0:06,1,10,0,3768,Turnover
2001_15_TEN_OAK,22,TEN 24,(1:07) 12-R.Gannon pass to 81-T.Brown pushed ob at OAK 45 for 7 yards (21-S.Rolle).,67,62,0:06,1,10,0,3871,Missed field goal
2001_16_CLE_TEN,23,CLE 48,(:55) 9-S.McNair pass incomplete.,55,56,0:07,1,10,0,3794,Turnover on downs
2001_17_CIN_TEN,24,TEN 37,(:03) (Shotgun) 14-N.O'Donnell pass incomplete to 19-D.Bennett (31-D.Williams).,3,63,0:00,1,10,0,4031,End of half
2002_01_ATL_GB,18,GB 34,(:53) 7-M.Vick sacked at ATL 38 for -5 yards (94-K.Gbaja-Biamila).,53,57,0:05,1,10,1,3371,Field goal
2002_01_BAL_CAR,21,BAL 47,(1:55) 31-J.Lewis left tackle to BAL 42 for 1 yard (55-D.Morgan).,115,59,1:19,1,10,0,3362,Turnover
2002_01_KC_CLE,23,CLE 12,(:21) 10-T.Green to KC 47 for 12 yards.,21,65,0:00,1,10,1,3861,Field goal
2002_01_NO_TB,23,NO 23,(1:51) 14-B.Johnson pass to 83-J.Jurevicius pushed ob at TB 45 for 5 yards (27-K.Irvin).,111,60,0:00,1,10,1,3937,Field goal
2002_02_BUF_MIN,23,MIN 36,(:21) (Shotgun) 11-D.Bledsoe pass to 37-L.Centers to BUF 48 for 13 yards (22-T.Carter).,21,65,0:00,1,10,1,4303,Field goal
2002_05_ARI_CAR,27,CAR 48,(:16) 9-R.Peete pass to 22-D.Brown to CAR 43 for 3 yards. Lateral to 89-S.Smith to CAR 48 for 5 yards (36-D.Barrett).,16,60,0:00,1,10,0,3911,Turnover
2002_06_BAL_IND,26,BAL 20,(1:56) (Shotgun) 18-P.Manning pass to 87-R.Wayne ran ob at IND 38 for 2 yards.,116,64,0:04,1,10,1,4018,Field goal
2002_06_CAR_DAL,25,DAL 41,"(:31) PENALTY on CAR-73-M.Tuten, False Start, 5 yards, enforced at CAR 42 - No Play.",31,58,0:00,1,10,0,4347,End of half
2002_06_MIA_DEN,22,MIA 37,(1:41) 14-B.Griese pass to 85-A.Lelie pushed ob at MIA 35 for 30 yards (23-P.Surtain).,101,65,0:45,1,10,1,3865,Field goal
2002_06_MIA_DEN,23,DEN 35,(:20) (Shotgun) 9-J.Fiedler pass to 87-D.Ward to DEN 35 for 22 yards (56-A.Wilson).,20,57,0:06,1,10,1,4018,Field goal
2002_08_HOU_JAX,27,JAX 48,(1:30) 8-M.Brunell pass incomplete.,90,56,0:00,1,10,0,3876,Turnover on downs
