game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2000_02_JAX_BAL,29,JAX 29,(1:20) T.Banks pass incomplete. banks spikes ball to stop clock.,80,56,0:41,1,10,1,4329,Touchdown
2000_02_WAS_DET,19,DET 32,(1:18) (Shotgun) B.Johnson left end to DET 37 for 21 yards (T.Fair).,78,58,0:49,1,10,0,3458,Turnover
2000_03_DAL_WAS,26,WAS 48,(:55) B.Johnson pass to A.Murrell to WAS 46 for 9 yards (D.Coakley).,55,63,0:00,1,10,0,3905,End of half
2000_06_BAL_JAX,30,JAX 43,(1:09) (Shotgun) J.Martin pass incomplete to F.Taylor.,69,57,0:53,1,10,0,4367,Turnover
2000_07_DAL_NYG,24,NYG 22,(2:00) T.Aikman pass to C.Warren pushed ob at DAL 45 for 8 yards (D.Thomas).,120,63,0:00,1,10,0,3893,End of half
2000_08_BUF_MIN,22,MIN 42,(:14) D.Flutie pass incomplete to E.Moulds.,14,55,0:00,1,10,0,4072,End of half
2000_09_KC_SEA,28,SEA 44,(:09) J.Kitna pass incomplete.,9,56,0:00,1,10,0,4034,End of half
2000_10_DEN_NYJ,22,DEN 2,(1:35) V.Testaverde pass to D.Ward to DEN 49 for 7 yards (J.Mobley).,95,56,0:31,1,10,0,3928,Turnover on downs
2000_11_NYJ_IND,19,IND 28,"(2:00) C.Martin left tackle to 50 for 5 yards (B.Holsey, J.Belser).",120,55,0:52,1,10,0,3639,Turnover on downs
2000_12_BUF_KC,22,BUF 42,(:58) E.Grbac pass incomplete to T.Gonzalez (H.Jones).,58,55,0:00,1,10,0,4093,End of half
2000_13_NO_STL,25,LA 45,(:04) T.Green sacked at STL 40 for -5 yards (D.Howard).,4,55,0:00,1,10,0,4303,End of half
2000_15_NE_CHI,23,CHI 31,(1:05) D.Bledsoe pass to K.Faulk ran ob at NE 47 for 9 yards (T.Smith).,65,62,0:00,1,10,0,4090,End of half
2000_16_STL_TB,22,LA 1,(1:52) (Shotgun) S.King pass incomplete to J.Green.,112,65,0:48,1,10,1,3587,Touchdown
2000_18_IND_MIA,20,IND 9,(2:00) J.Fiedler pass to T.Martin to IND 47 for 9 yards (M.Muhammad).,120,56,0:34,1,10,1,3126,Touchdown
2001_01_MIA_TEN,29,50,(:10) (Shotgun) 14-N.O'Donnell pass to 81-C.Sanders to 50 for 15 yards (23-P.Surtain).,10,65,0:00,1,10,0,4121,End of half
2001_02_NYJ_NE,22,NYJ 29,(1:41) (Shotgun) 12-T.Brady pass incomplete to 80-T.Brown.,101,61,0:00,1,10,0,3779,Turnover on downs
2001_02_OAK_MIA,23,LV 2,(1:35) (Shotgun) 9-J.Fiedler pass to 34-T.Minor ran ob at MIA 48 for 8 yards.,95,60,0:05,1,10,1,3655,Touchdown
2001_02_TEN_JAX,24,TEN 42,(1:39) (Shotgun) 14-N.O'Donnell pass to 82-E.Berlin to JAX 46 for 9 yards (21-A.Beasley).,99,55,1:01,1,10,0,3737,Turnover on downs
2001_04_ARI_PHI,22,PHI 35,(:45) 16-J.Plummer pass incomplete.,45,63,0:09,1,10,1,3991,Touchdown
2001_04_GB_TB,20,TB 18,(1:38) 4-B.Favre pass incomplete to 84-B.Schroeder.,98,57,0:00,1,10,0,3248,Turnover on downs
2001_04_SD_CLE,25,CLE 45,(:21) (Shotgun) 7-D.Flutie pass to 81-J.Graham ran ob at CLE 45 for 14 yards (37-A.Henry).,21,59,0:00,1,10,0,3777,End of half
2001_05_ARI_CHI,21,ARI 36,(1:02) (Shotgun) 16-J.Plummer pass incomplete to 82-M.Jenkins (93-P.Daniels).,62,63,0:00,1,10,0,3902,End of half
2001_05_DET_MIN,19,MIN 46,(:30) 10-C.Batch pass to 86-D.Sloan to MIN 46 for 11 yards (20-K.Wright).,30,57,0:00,1,10,0,3992,End of half
2001_05_NO_CAR,30,CAR 1,(1:10) (Shotgun) 2-A.Brooks pass incomplete to 88-W.Jackson (33-D.Evans).,70,55,0:00,1,10,1,4217,Touchdown
2001_05_OAK_IND,23,IND 46,(1:37) (Shotgun) 18-P.Manning pass to 32-E.James to IND 42 for 7 yards (21-E.Allen).,97,65,0:55,1,10,0,4125,Turnover
2001_06_ATL_NO,25,ATL 33,(:23) (Shotgun) 2-A.Brooks pass incomplete to 83-A.Connell.,23,57,0:00,1,10,0,3717,End of half
2001_06_TEN_DET,25,TEN 36,(2:00) 10-C.Batch pass to 25-L.Warren ran ob at DET 40 for 5 yards.,120,65,1:18,1,10,1,4166,Touchdown
2001_07_CIN_DET,26,DET 33,(:36) 10-C.Batch pass incomplete.,36,57,0:00,1,10,0,3939,End of half
2001_08_KC_SD,24,KC 41,(:45) (Shotgun) 9-D.Brees scrambles ran ob at SD 46 for 5 yards (21-J.Woods).,45,59,0:00,1,10,0,3918,End of half
