"","V1","V2","V3","V4"
"down_by_fg","time1","time2","prob_of_winning","num games"
"vec","0","10","6.52173913043478","46"
"vec","10","20","24.0740740740741","54"
"vec","20","30","28.3582089552239","67"
"vec","30","40","25.9259259259259","54"
"vec","40","50","40","50"
"vec","50","60","47.9166666666667","48"
"vec","60","70","40","40"
"vec","70","80","41.1764705882353","34"
"vec","80","90","50","40"
"vec","90","100","42.3076923076923","52"
"vec","100","110","40.7407407407407","27"
"vec","110","120","54.5454545454545","55"
"vec","120","130","46.25","80"
"vec","130","140","35.1351351351351","37"
"vec","140","150","50","24"
"vec","150","160","61.5384615384615","26"
"vec","160","170","44","25"
"vec","170","180","51.6129032258064","31"
"vec","180","190","56.5217391304348","23"
"vec","190","200","65.2173913043478","23"
"vec","200","210","57.1428571428571","21"
"vec","210","220","55.5555555555556","18"
"vec","220","230","50","18"
"vec","230","240","51.8518518518519","27"
"vec","240","250","63.1578947368421","19"
"vec","250","260","38.8888888888889","18"
"vec","260","270","40.9090909090909","22"
"vec","270","280","56.5217391304348","23"
"vec","280","290","46.875","32"
"vec","290","300","48.2758620689655","29"
"vec","300","310","43.75","16"
"vec","310","320","50","20"
"vec","320","330","68.4210526315789","19"
"vec","330","340","42.8571428571429","21"
"vec","340","350","33.3333333333333","27"
"vec","350","360","60","10"
"vec","360","370","50","18"
"vec","370","380","44.4444444444444","18"
"vec","380","390","50","24"
"vec","390","400","52","25"
"vec","400","410","61.9047619047619","21"
"vec","410","420","61.1111111111111","18"
"vec","420","430","41.6666666666667","12"
"vec","430","440","47.3684210526316","19"
"vec","440","450","40.7407407407407","27"
"vec","450","460","40.9090909090909","22"
"vec","460","470","53.8461538461538","26"
"vec","470","480","54.5454545454545","22"
"vec","480","490","45.8333333333333","24"
"vec","490","500","45.8333333333333","24"
"vec","500","510","44","25"
"vec","510","520","64.2857142857143","28"
"vec","520","530","56","25"
"vec","530","540","46.1538461538462","26"
"vec","540","550","40","35"
"vec","550","560","45.8333333333333","24"
"vec","560","570","62.5","24"
"vec","570","580","55","20"
"vec","580","590","57.6923076923077","26"
"vec","590","600","41.6666666666667","24"
"vec","600","610","58.3333333333333","24"
"vec","610","620","60","25"
"vec","620","630","41.6666666666667","24"
"vec","630","640","51.8518518518519","27"
"vec","640","650","60","25"
"vec","650","660","42.1052631578947","19"
"vec","660","670","47.6190476190476","21"
"vec","670","680","65.2173913043478","23"
"vec","680","690","34.7826086956522","23"
"vec","690","700","38.0952380952381","21"
"vec","700","710","56.25","16"
"vec","710","720","64.2857142857143","28"
"vec","720","730","50","20"
"vec","730","740","45.1612903225806","31"
"vec","740","750","57.1428571428571","21"
"vec","750","760","64.2857142857143","14"
"vec","760","770","50","22"
"vec","770","780","55.5555555555556","18"
"vec","780","790","57.8947368421053","19"
"vec","790","800","30.7692307692308","13"
"vec","800","810","43.4782608695652","23"
"vec","810","820","38.8888888888889","18"
"vec","820","830","36.3636363636364","11"
"vec","830","840","52.9411764705882","17"
"vec","840","850","37.5","16"
"vec","850","860","51.5151515151515","33"
"vec","860","870","65.2173913043478","23"
"vec","870","880","50","10"
"vec","880","890","36.3636363636364","11"
"vec","890","900","42.3076923076923","26"
"vec","900","910","42.8571428571429","70"
