,V1,V2,V3,,
down_by_fg,time1,time2,prob_of_winning,,
vec,0,10,25.50790068,,6.925207756
vec,10,20,27.82152231,,11.63366337
vec,20,30,31.28342246,,16.10738255
vec,30,40,40.06116208,,19.73684211
vec,40,50,35.87301587,,20.33195021
vec,50,60,40.74074074,,21.51029748
vec,60,70,39.3442623,,21.71189979
vec,70,80,42.44604317,,19.57894737
vec,80,90,40.72727273,,23.89937107
vec,90,100,38.72180451,,20.84309133
vec,100,110,37.06896552,,18.87323944
vec,110,120,41.36986301,,21.76
vec,120,130,44.53781513,,25.33825338
vec,130,140,40.69264069,,20.87378641
vec,140,150,43.06220096,,23.22404372
vec,150,160,42.78350515,,25.96401028
vec,160,170,39.28571429,,19.38202247
vec,170,180,41.02564103,,19.12225705
vec,180,190,41.36125654,,19.82758621
vec,190,200,44.18604651,,26.5060241
vec,200,210,48.52071006,,21.61290323
vec,210,220,42.17687075,,24.83221477
vec,220,230,40.97222222,,21.63120567
vec,230,240,50.6097561,,24.46808511
vec,240,250,45.34161491,,21.01449275
vec,250,260,41.17647059,,22.59259259
vec,260,270,41.09589041,,24.27983539
vec,270,280,45,,27.71929825
vec,280,290,48.29545455,,25.28735632
vec,290,300,47.77070064,,28.34008097
vec,300,310,46.26865672,,25.10288066
vec,310,320,50.70422535,,25.3968254
vec,320,330,47.77070064,,22.17741935
vec,330,340,41.84397163,,26.12244898
vec,340,350,46.05263158,,27.63157895
vec,350,360,48.07692308,,23.10756972
vec,360,370,52.02702703,,25.19379845
vec,370,380,49.32432432,,26.35983264
vec,380,390,46.62576687,,28.45528455
vec,390,400,49.32432432,,25.40322581
vec,400,410,43.94904459,,30.93220339
vec,410,420,47.31182796,,26.58730159
vec,420,430,37.77777778,,25.64102564
vec,430,440,42.42424242,,25.89641434
vec,440,450,43.58974359,,28.39506173
vec,450,460,45.50898204,,25.91093117
vec,460,470,45.625,,25
vec,470,480,50.31446541,,24.44444444
vec,480,490,41.27906977,,21.37096774
vec,490,500,44.78527607,,26.4
vec,500,510,37.5,,25.3164557
vec,510,520,45.88235294,,28.69198312
vec,520,530,44.51612903,,23.67346939
vec,530,540,43.39622642,,19.2
vec,540,550,50,,22.94372294
vec,550,560,37.01298701,,26.77165354
vec,560,570,48.32214765,,25.67049808
vec,570,580,45.75163399,,25.20661157
vec,580,590,47.77070064,,23.67346939
vec,590,600,43.87096774,,29.76190476
vec,600,610,47.92899408,,25.71428571
vec,610,620,46.62162162,,24.82269504
vec,620,630,51.61290323,,24.78991597
vec,630,640,48.27586207,,30.83003953
vec,640,650,47.59036145,,28.19548872
vec,650,660,45.88235294,,30.18181818
vec,660,670,40.55944056,,28.30188679
vec,670,680,51.11111111,,27.04626335
vec,680,690,44.23076923,,28.17460317
vec,690,700,45.40540541,,28.34645669
vec,700,710,50.70422535,,28.94736842
vec,710,720,44.58598726,,25.74626866
vec,720,730,42.56756757,,27.20588235
vec,730,740,50,,30
vec,740,750,46.2962963,,34.40366972
vec,750,760,52.7027027,,26.53846154
vec,760,770,45.34883721,,28.87323944
vec,770,780,45.73170732,,31.57894737
vec,780,790,44.15584416,,30.18867925
vec,790,800,48.7394958,,28.20512821
vec,800,810,41.81818182,,28.62745098
vec,810,820,42.47311828,,30.27522936
vec,820,830,49.68553459,,23.68421053
vec,830,840,45.94594595,,31.94444444
vec,840,850,43.88489209,,28.29268293
vec,850,860,46.44351464,,28
vec,860,870,50.60240964,,24.12790698
vec,870,880,51.2195122,,29.54545455
vec,880,890,45.05494505,,28.24427481
vec,890,900,45.18072289,,28.35249042
vec,900,910,48.44444444,,27.80082988
