"","V1","V2","V3"
"down_by_td","time1","time2","prob_of_winning"
"vec","0","10","7.53246753246753"
"vec","10","20","11.1627906976744"
"vec","20","30","15.9574468085106"
"vec","30","40","20"
"vec","40","50","20.1980198019802"
"vec","50","60","22.1258134490239"
"vec","60","70","21.2180746561886"
"vec","70","80","19.8412698412698"
"vec","80","90","23.4592445328032"
"vec","90","100","21.2053571428571"
"vec","100","110","18.8916876574307"
"vec","110","120","23.6245954692557"
"vec","120","130","25.1518833535844"
"vec","130","140","20.8333333333333"
"vec","140","150","22.9381443298969"
"vec","150","160","24.8210023866348"
"vec","160","170","19.6765498652291"
"vec","170","180","19.1135734072022"
"vec","180","190","20.0534759358289"
"vec","190","200","25.9259259259259"
"vec","200","210","21.5151515151515"
"vec","210","220","24.0740740740741"
"vec","220","230","23.1023102310231"
"vec","230","240","24.4224422442244"
"vec","240","250","20.5980066445183"
"vec","250","260","22.5255972696246"
"vec","260","270","24.21875"
"vec","270","280","27"
"vec","280","290","24.2857142857143"
"vec","290","300","28.5185185185185"
"vec","300","310","26.4150943396226"
"vec","310","320","26.4705882352941"
"vec","320","330","23.3962264150943"
"vec","330","340","26.4705882352941"
"vec","340","350","28.8"
"vec","350","360","22.463768115942"
"vec","360","370","25.4480286738351"
"vec","370","380","26.1538461538462"
"vec","380","390","28.7313432835821"
"vec","390","400","25.7462686567164"
"vec","400","410","30.2788844621514"
"vec","410","420","26.4492753623188"
"vec","420","430","25.8503401360544"
"vec","430","440","25.1851851851852"
"vec","440","450","28.7878787878788"
"vec","450","460","25.3787878787879"
"vec","460","470","25.1908396946565"
"vec","470","480","23.7931034482759"
"vec","480","490","21.8978102189781"
"vec","490","500","25.9398496240602"
"vec","500","510","25.1937984496124"
"vec","510","520","27.710843373494"
"vec","520","530","22.9007633587786"
"vec","530","540","18.8888888888889"
"vec","540","550","22.5806451612903"
"vec","550","560","26.7148014440433"
"vec","560","570","25.6140350877193"
"vec","570","580","25"
"vec","580","590","24.6212121212121"
"vec","590","600","29.136690647482"
"vec","600","610","25.0922509225092"
"vec","610","620","25.7425742574257"
"vec","620","630","25.4980079681275"
"vec","630","640","30.3571428571429"
"vec","640","650","28.6713286713287"
"vec","650","660","30.0341296928328"
"vec","660","670","29.3859649122807"
"vec","670","680","26.8852459016393"
"vec","680","690","28.2051282051282"
"vec","690","700","28.5211267605634"
"vec","700","710","28.6713286713287"
"vec","710","720","26.7123287671233"
"vec","720","730","27.5618374558304"
"vec","730","740","30.9433962264151"
"vec","740","750","33.8775510204082"
"vec","750","760","25.4416961130742"
"vec","760","770","29.6774193548387"
"vec","770","780","31.8339100346021"
"vec","780","790","30.2521008403361"
"vec","790","800","27.9527559055118"
"vec","800","810","28.9285714285714"
"vec","810","820","30.225988700565"
"vec","820","830","24.3150684931507"
"vec","830","840","31.304347826087"
"vec","840","850","28.5714285714286"
"vec","850","860","28.2051282051282"
"vec","860","870","25"
"vec","870","880","30"
"vec","880","890","28.6666666666667"
"vec","890","900","27.8810408921933"
"vec","900","910","27.7472527472527"
