"","V1","V2","V3"
"down_by_td","time1","time2","prob_of_winning"
"vec","0","10","6.92520775623269"
"vec","10","20","11.6336633663366"
"vec","20","30","16.1073825503356"
"vec","30","40","19.7368421052632"
"vec","40","50","20.3319502074689"
"vec","50","60","21.5102974828375"
"vec","60","70","21.7118997912317"
"vec","70","80","19.5789473684211"
"vec","80","90","23.8993710691824"
"vec","90","100","20.8430913348946"
"vec","100","110","18.8732394366197"
"vec","110","120","21.76"
"vec","120","130","25.3382533825338"
"vec","130","140","20.873786407767"
"vec","140","150","23.224043715847"
"vec","150","160","25.9640102827763"
"vec","160","170","19.3820224719101"
"vec","170","180","19.1222570532915"
"vec","180","190","19.8275862068966"
"vec","190","200","26.5060240963855"
"vec","200","210","21.6129032258065"
"vec","210","220","24.8322147651007"
"vec","220","230","21.6312056737589"
"vec","230","240","24.468085106383"
"vec","240","250","21.0144927536232"
"vec","250","260","22.5925925925926"
"vec","260","270","24.2798353909465"
"vec","270","280","27.719298245614"
"vec","280","290","25.2873563218391"
"vec","290","300","28.3400809716599"
"vec","300","310","25.1028806584362"
"vec","310","320","25.3968253968254"
"vec","320","330","22.1774193548387"
"vec","330","340","26.1224489795918"
"vec","340","350","27.6315789473684"
"vec","350","360","23.1075697211155"
"vec","360","370","25.1937984496124"
"vec","370","380","26.3598326359833"
"vec","380","390","28.4552845528455"
"vec","390","400","25.4032258064516"
"vec","400","410","30.9322033898305"
"vec","410","420","26.5873015873016"
"vec","420","430","25.6410256410256"
"vec","430","440","25.8964143426295"
"vec","440","450","28.3950617283951"
"vec","450","460","25.9109311740891"
"vec","460","470","25"
"vec","470","480","24.4444444444444"
"vec","480","490","21.3709677419355"
"vec","490","500","26.4"
"vec","500","510","25.3164556962025"
"vec","510","520","28.6919831223629"
"vec","520","530","23.6734693877551"
"vec","530","540","19.2"
"vec","540","550","22.9437229437229"
"vec","550","560","26.7716535433071"
"vec","560","570","25.6704980842912"
"vec","570","580","25.2066115702479"
"vec","580","590","23.6734693877551"
"vec","590","600","29.7619047619048"
"vec","600","610","25.7142857142857"
"vec","610","620","24.822695035461"
"vec","620","630","24.7899159663866"
"vec","630","640","30.8300395256917"
"vec","640","650","28.1954887218045"
"vec","650","660","30.1818181818182"
"vec","660","670","28.3018867924528"
"vec","670","680","27.0462633451957"
"vec","680","690","28.1746031746032"
"vec","690","700","28.3464566929134"
"vec","700","710","28.9473684210526"
"vec","710","720","25.7462686567164"
"vec","720","730","27.2058823529412"
"vec","730","740","30"
"vec","740","750","34.4036697247706"
"vec","750","760","26.5384615384615"
"vec","760","770","28.8732394366197"
"vec","770","780","31.5789473684211"
"vec","780","790","30.188679245283"
"vec","790","800","28.2051282051282"
"vec","800","810","28.6274509803922"
"vec","810","820","30.2752293577982"
"vec","820","830","23.6842105263158"
"vec","830","840","31.9444444444444"
"vec","840","850","28.2926829268293"
"vec","850","860","28"
"vec","860","870","24.1279069767442"
"vec","870","880","29.5454545454545"
"vec","880","890","28.2442748091603"
"vec","890","900","28.3524904214559"
"vec","900","910","27.8008298755187"
