down_by_td,time1,time2,prob_of_winning,num of games
vec,0,30,0.806451613,124
vec,30,60,8.724832215,149
vec,60,90,15.06024096,166
vec,90,120,18.57923497,183
vec,120,150,26.76056338,213
vec,150,180,24.28571429,140
vec,180,210,21.27659574,141
vec,210,240,22.4137931,116
vec,240,270,21.64948454,97
vec,270,300,17.5,120
vec,300,330,16.47058824,85
vec,330,360,30.76923077,104
vec,360,390,30.69306931,101
vec,390,420,28.73563218,87
vec,420,450,27.55102041,98
vec,450,480,23.95833333,96
vec,480,510,22.93577982,109
vec,510,540,17.39130435,92
vec,540,570,22.10526316,95
vec,570,600,28.42105263,95
vec,600,630,25.96153846,104
vec,630,660,27.38095238,84
vec,660,690,22.11538462,104
vec,690,720,23.95833333,96
vec,720,750,31.48148148,108
vec,750,780,35.35353535,99
vec,780,810,35.13513514,74
vec,810,840,28.57142857,91
vec,840,870,25,100
vec,870,900,33.33333333,45
vec,900,930,30.86419753,162
